118,2
119,1
122,1
124,1
125,2
126,3
127,2
128,3
129,6
130,9
131,11
132,9
133,14
134,17
135,19
136,28
137,36
138,56
139,51
140,76
141,101
142,108
143,158
144,169
145,219
146,211
147,284
148,382
149,408
150,519
151,628
152,754
153,860
154,951
155,1176
156,1325
157,1576
158,1787
159,2077
160,2306
161,2605
162,2901
163,3481
164,3926
165,4316
166,4794
167,5352
168,5656
169,6509
170,6881
171,7714
172,8153
173,9332
174,9563
175,10495
176,11224
177,11986
178,12795
179,13817
180,14417
181,15270
182,15920
183,16596
184,17418
185,17893
186,18580
187,19301
188,19739
189,20497
190,20931
191,21075
192,21579
193,21977
194,22214
195,21871
196,21890
197,21956
198,21883
199,21705
200,21829
201,21494
202,21149
203,20465
204,20338
205,19877
206,19097
207,18654
208,17751
209,17590
210,16871
211,16334
212,15373
213,14807
214,13910
215,13266
216,12496
217,11907
218,10872
219,10777
220,9704
221,9169
222,8698
223,7971
224,7418
225,6900
226,6220
227,5689
228,5328
229,4783
230,4529
231,4064
232,3727
233,3331
234,3019
235,2688
236,2474
237,2177
238,1958
239,1751
240,1541
241,1371
242,1241
243,1128
244,963
245,890
246,779
247,678
248,601
249,515
250,489
251,369
252,335
253,307
254,236
255,197
256,218
257,176
258,160
259,111
260,104
261,92
262,87
263,60
264,56
265,50
266,37
267,23
268,23
269,21
270,21
271,19
272,13
273,8
274,14
275,9
276,6
277,4
278,6
279,3
280,8
282,2
283,2
284,7
286,1
288,1
289,2
290,1
293,1
